id,"name","description","deleted_at","created_at","updated_at"
1,"Air-conditioning Contractor",NULL,NULL,"2014-08-29 04:01:58","2015-01-20 08:49:57"
2,"Bathroom Contractor",NULL,NULL,"2014-08-29 04:01:58","2014-08-29 04:01:58"
4,"Carpenter",NULL,NULL,"2014-08-29 04:01:58","2014-08-29 04:01:58"
6,"Electrician",NULL,NULL,"2014-08-29 04:01:58","2014-08-29 04:01:58"
7,"Flooring Contractor",NULL,NULL,"2014-08-29 04:01:58","2014-08-29 04:01:58"
8,"Landscaping Contractor",NULL,NULL,"2014-08-29 04:01:58","2014-08-29 04:01:58"
9,"General Contactor",NULL,NULL,"2014-08-29 04:01:58","2014-08-29 04:01:58"
10,"Kitchen Contractor",NULL,NULL,"2014-08-29 04:01:58","2014-08-29 04:01:58"
11,"Painter",NULL,NULL,"2014-08-29 04:01:58","2014-08-29 04:01:58"
12,"Plumber",NULL,NULL,"2014-08-29 04:01:58","2014-08-29 04:01:58"
13,"Renovation Contractor / Interior Designer",NULL,NULL,"2014-08-29 04:01:58","2014-08-29 04:01:58"
14,"Roofing / Waterproofing Contractor",NULL,NULL,"2014-08-29 04:01:58","2014-08-29 04:01:58"
15,"Swimming Pool / Water Feature",NULL,NULL,"2014-08-29 04:01:58","2014-08-29 04:01:58"
16,"Tilling Contractor",NULL,NULL,"2014-08-29 04:01:58","2014-08-29 04:01:58"
17,"Window / Glass Contractor",NULL,NULL,"2014-08-29 04:01:58","2014-08-29 04:01:58"
18,"Handyman",NULL,NULL,"2014-08-29 04:01:58","2015-01-20 09:30:58"
